STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,40.77898,-73.96925,42.7,05-06-16,3.36,,0.91,0,0,,71,65,280,270,18.1,38,1,,,,,
USW00094728,40.77898,-73.96925,42.7,06-06-16,5.59,,0,0,0,,83,65,250,290,13,21.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,07-06-16,5.14,,0,0,0,,85,64,310,300,17,30,,,,,,
USW00094728,40.77898,-73.96925,42.7,08-06-16,7.61,,0.45,0,0,,67,52,290,280,17,28,1,,,,,
USW00094728,40.77898,-73.96925,42.7,09-06-16,8.95,,0,0,0,,71,54,290,280,21,32,,,,,,
USW00094728,40.77898,-73.96925,42.7,10-06-16,5.37,,0,0,0,,77,57,300,310,14.1,23.9,,,,,,1
USW00094728,40.77898,-73.96925,42.7,11-06-16,3.36,,0,0,0,,88,59,270,270,15,25.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,12-06-16,8.05,,0,0,0,,83,62,290,290,21,36,,,,,,1
USW00094728,40.77898,-73.96925,42.7,13-06-16,7.38,,0,0,0,,74,57,280,320,14.1,27.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,14-06-16,4.25,,0,0,0,,79,58,20,290,10.1,17,,,,,,
USW00094728,40.77898,-73.96925,42.7,15-06-16,2.46,,0,0,0,,85,62,260,250,12.1,18.1,,,,,,1
USW00094728,40.77898,-73.96925,42.7,16-06-16,1.79,,0.22,0,0,,74,65,150,20,8.1,16.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,17-06-16,4.7,,0,0,0,,78,63,70,180,13,19,,,,,,
USW00094728,40.77898,-73.96925,42.7,18-06-16,2.68,,0,0,0,,87,61,160,160,8.9,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,19-06-16,2.91,,0,0,0,,88,66,170,170,12.1,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,20-06-16,3.13,,0,0,0,,84,64,160,170,12.1,17,,,,,,
USW00094728,40.77898,-73.96925,42.7,21-06-16,4.92,,0,0,0,,87,72,300,300,15,27.1,,,,,,1
USW00094728,40.77898,-73.96925,42.7,22-06-16,4.03,,0,0,0,,86,68,290,270,17,25.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,23-06-16,2.01,,0,0,0,,83,69,70,60,8.1,12.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,24-06-16,6.26,,0,0,0,,84,67,60,40,15,21.9,,,,,,1
USW00094728,40.77898,-73.96925,42.7,25-06-16,3.58,,0,0,0,,86,64,170,160,8.9,15,,,,,,
USW00094728,40.77898,-73.96925,42.7,26-06-16,2.46,,0,0,0,,87,67,160,170,10.1,17,,,,,,
USW00094728,40.77898,-73.96925,42.7,27-06-16,4.92,,0.45,0,0,,83,67,160,190,12.1,21.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,28-06-16,3.58,,0.12,0,0,,76,68,160,170,12.1,17,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,29-06-16,2.24,,0.01,0,0,,83,67,270,250,10.1,17,1,,,,,
USW00094728,40.77898,-73.96925,42.7,30-06-16,2.91,,0,0,0,,85,67,160,250,8.1,15,,,,,,
USW00094728,40.77898,-73.96925,42.7,01-07-16,3.36,,0.83,0,0,,79,66,170,160,13,21.9,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,02-07-16,5.37,,0,0,0,,76,63,310,290,13,23.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,03-07-16,3.13,,0,0,0,,78,64,250,270,8.9,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,04-07-16,3.13,,0.49,0,0,,84,66,260,250,12.1,21,1,,,,,
USW00094728,40.77898,-73.96925,42.7,05-07-16,2.91,,0.66,0,0,,86,69,280,280,12.1,16.1,1,,,,,
USW00094728,40.77898,-73.96925,42.7,06-07-16,2.46,,0,0,0,,91,75,170,180,8.1,16.1,,,,,,
USW00094728,40.77898,-73.96925,42.7,07-07-16,2.01,,0.04,0,0,,89,77,260,170,8.9,18.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,08-07-16,5.37,,0.08,0,0,,86,67,60,60,13,18.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,09-07-16,4.03,,0.53,0,0,,72,65,150,140,10.1,16.1,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,10-07-16,4.25,,0,0,0,,80,66,290,290,12.1,21.9,1,,,,,
USW00094728,40.77898,-73.96925,42.7,11-07-16,3.36,,0,0,0,,81,65,60,50,10.1,15,,,,,,
USW00094728,40.77898,-73.96925,42.7,12-07-16,4.25,,0,0,0,,82,68,170,170,13,19,,,,,,
USW00094728,40.77898,-73.96925,42.7,13-07-16,4.7,,0,0,0,,85,71,230,250,10.1,19.9,,,,,,
USW00094728,40.77898,-73.96925,42.7,14-07-16,2.91,,0.62,0,0,,88,73,280,290,19.9,36,1,,,,,1
USW00094728,40.77898,-73.96925,42.7,15-07-16,4.47,,0,0,0,,88,79,280,290,13,21,,,,,,
USW00094728,40.77898,-73.96925,42.7,16-07-16,4.25,,0,0,0,,90,75,210,210,13,23,,,,,,1
