Trip ID.,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,speed,tod
119,30-06-14 6:16,30-06-14 6:21,1,1.3,-74.005288,40.721187,-74.014022,40.713844,6.5,286,16.36363636,6
120,20-06-14 7:00,20-06-14 7:07,1,1.71,-73.971867,40.743932,-73.970422,40.76249,7.5,420,14.65714286,7
121,20-06-14 6:57,20-06-14 7:09,2,3.39,-73.976205,40.752437,-74.00899,40.719985,12.5,720,16.95,6
122,20-06-14 19:12,20-06-14 19:40,1,3.73,-74.000092,40.723137,-73.972595,40.762742,19,1680,7.992857143,19
123,20-06-14 19:34,20-06-14 19:44,1,1.79,-74.003822,40.747602,-74.005172,40.72935,9,600,10.74,19
124,20-06-14 6:51,20-06-14 7:11,1,5.87,-73.96434,40.719077,-73.975138,40.751162,20,1200,17.61,6
125,20-06-14 6:51,20-06-14 7:11,1,5.74,-73.902262,40.741452,-73.9947,40.740537,19,1200,17.22,6
126,20-06-14 10:48,20-06-14 11:28,2,19.89,-73.78717,40.64097,-74.00549,40.72735,52,2400,29.835,10
127,20-06-14 10:44,20-06-14 11:31,1,22.43,-73.78193,40.644622,-73.982972,40.760962,52,2820,28.63404255,10
128,20-06-14 16:18,20-06-14 16:32,1,1.75,-73.945152,40.787007,-73.960812,40.7655,10.5,840,7.5,16
129,20-06-14 16:21,20-06-14 16:31,1,0.97,-73.968125,40.771012,-73.980568,40.767562,7.5,600,5.82,16
130,20-06-14 16:13,20-06-14 16:28,3,3.2,-73.977533,40.753072,-73.977057,40.78765,12.5,900,12.8,16
131,20-06-14 15:13,20-06-14 15:20,5,0.62,-73.963135,40.766617,-73.971422,40.765157,6,420,5.314285714,15
132,20-06-14 15:13,20-06-14 15:26,6,1.92,-73.976403,40.75847,-73.955097,40.773377,10.5,780,8.861538462,15
133,20-06-14 15:24,20-06-14 15:27,1,0.47,-73.962312,40.773397,-73.966415,40.767707,4,180,9.4,15
134,20-06-14 2:45,20-06-14 2:51,1,1.11,-73.986173,40.741017,-74.00138,40.741745,6.5,360,11.1,2
135,20-06-14 15:18,20-06-14 15:23,1,0.64,-73.978235,40.68987,-73.971332,40.686047,5.5,300,7.68,15
136,20-06-14 2:54,20-06-14 3:03,1,2.7,-73.97166,40.76272,-73.97346,40.73803,10,540,18,2
137,20-06-14 18:22,20-06-14 18:31,1,1.02,-73.98505,40.76345,-73.98932,40.77508,7.5,540,6.8,18
138,20-06-14 18:15,20-06-14 18:32,1,1.83,-73.983987,40.740882,-73.988032,40.759612,11.5,1020,6.458823529,18
139,20-06-14 18:36,20-06-14 18:38,5,0.63,-73.952422,40.776967,-73.956277,40.769592,4,120,18.9,18
140,20-06-14 18:25,20-06-14 18:38,6,2.2,-73.947552,40.775437,-73.980672,40.784997,10.5,780,10.15384615,18
141,20-06-14 10:11,20-06-14 10:27,1,5.33,-73.981137,40.737407,-74.013365,40.714787,18,960,19.9875,10
142,21-06-14 18:15,21-06-14 18:26,3,2.09,-73.968472,40.75482,-73.989767,40.739095,10,660,11.4,18
143,21-06-14 18:19,21-06-14 18:24,2,1.09,-73.954702,40.765695,-73.96598,40.758177,6,300,13.08,18
144,21-06-14 18:11,21-06-14 18:23,6,3.04,-73.998302,40.735237,-74.01652,40.716237,12,720,15.2,18
145,20-06-14 2:33,20-06-14 2:58,1,13.92,-73.957187,40.77022,-73.777377,40.729862,30,1500,33.408,2
146,20-06-14 2:57,20-06-14 3:00,1,0.6,-73.98246,40.74816,-73.97275,40.74515,4.5,180,12,2
147,20-06-14 18:33,20-06-14 18:44,1,2.05,-73.98826,40.754377,-73.99559,40.73075,9.5,660,11.18181818,18
148,20-06-14 18:24,20-06-14 18:47,3,3.96,-73.935942,40.850223,-73.940493,40.805673,17.5,1380,10.33043478,18
149,16-06-14 10:39,16-06-14 10:49,2,1.63,-73.976412,40.78834,-73.962608,40.773925,8.5,600,9.78,10
150,21-06-14 22:55,21-06-14 23:06,1,1.74,-73.992247,40.72659,-73.98427,40.747542,9,660,9.490909091,22
151,21-06-14 22:58,21-06-14 23:05,4,1.3,-73.979955,40.72852,-73.974685,40.742032,7,420,11.14285714,22
152,21-06-14 22:41,21-06-14 23:05,5,3.44,-74.005293,40.741147,-73.983735,40.773752,17.5,1440,8.6,22
153,16-06-14 17:10,16-06-14 17:14,1,0.27,-73.989935,40.7348,-73.98783,40.73812,4,240,4.05,17
154,19-06-14 20:31,19-06-14 20:37,1,2.3,-73.989945,40.719007,-73.94951,40.711082,8.5,360,23,20
155,19-06-14 20:30,19-06-14 20:38,1,1.36,-73.989557,40.719517,-74.001022,40.731485,7,480,10.2,20
156,16-06-14 9:56,16-06-14 10:53,1,11.85,-73.863742,40.769812,-73.984075,40.752615,45,3420,12.47368421,9
157,21-06-14 18:14,21-06-14 18:21,6,0.97,-73.999087,40.734377,-73.987142,40.736112,6.5,420,8.314285714,18
158,21-06-14 18:13,21-06-14 18:23,3,2.44,-73.98272,40.75715,-73.95901,40.78338,10,600,14.64,18
159,21-06-14 18:16,21-06-14 18:24,5,1.02,-73.960658,40.76122,-73.968845,40.756382,7,480,7.65,18
160,20-06-14 7:11,20-06-14 7:13,1,0.77,-73.98183,40.732255,-73.975103,40.74157,4,120,23.1,7
161,16-06-14 12:43,16-06-14 12:58,5,2.18,-73.9842,40.745327,-74.002098,40.725515,11.5,900,8.72,12
162,19-06-14 21:27,19-06-14 21:43,1,2.68,-73.975582,40.748962,-73.948097,40.774677,13,960,10.05,21
163,19-06-14 21:38,19-06-14 21:44,1,1.01,-73.95831,40.775685,-73.968218,40.765147,6,360,10.1,21
164,16-06-14 16:46,16-06-14 16:50,1,1.38,-73.982028,40.774805,-73.971295,40.792943,6,240,20.7,16
165,20-06-14 22:20,20-06-14 22:33,2,2.84,-73.977523,40.77945,-73.961327,40.813312,12,780,13.10769231,22
166,21-06-14 22:17,21-06-14 22:25,1,1.32,-73.96663,40.794132,-73.955058,40.804722,7.5,480,9.9,22
